Date,Open,High,Low,Close,Volume
7/17/2012,129.26,129.82,128.64,128.75,5591917
7/18/2012,129.26,129.34,128.79,128.82,4012171
7/19/2012,128.46,129.1,128.11,128.49,5246268
7/20/2012,129.6,130.3,129.42,130.06,6366359
7/23/2012,131.31,131.44,130.51,130.79,6141343
7/24/2012,130.35,132.04,130.28,131.82,6749386
7/25/2012,131.63,132.22,131.48,132.16,5327969
7/26/2012,131.53,131.78,130.9,130.95,6606220
7/27/2012,129.89,130.01,126.96,128.48,14685589
7/30/2012,128.39,129.48,128.25,129.44,6025442
7/31/2012,129.81,129.88,128.58,129.7,7448593
8/1/2012,128.53,129.74,128.15,128.78,7972052
8/2/2012,129.59,130.69,129.13,129.51,7971931
8/3/2012,127.84,128.03,126.77,127.42,9084768
8/6/2012,127.67,128.14,127.37,127.47,3673529
8/7/2012,125.96,126.13,125.43,125.83,6613817
8/8/2012,126.16,126.39,125.04,125.16,7251608
8/9/2012,124.77,125.3,123.75,125.07,7557271
8/10/2012,126.2,126.32,125.6,125.7,4672304
8/13/2012,126.11,126.38,125.49,125.49,3547652
8/14/2012,123.96,124.41,123.75,123.79,7994037
8/15/2012,123.02,123.2,121.9,122.05,11191512
8/16/2012,122.21,122.5,120.52,121.01,13239987
8/17/2012,121.4,122.12,121.32,121.6,6341050
8/20/2012,121.55,122.19,121.5,121.85,4427123
8/21/2012,121.47,122.45,120.66,122.39,9532673
8/22/2012,123.52,124.51,123.21,124.41,11384322
8/23/2012,124.74,125.14,124.65,124.93,7139013
8/24/2012,125.47,125.56,124.67,124.81,5001658
8/27/2012,125.34,125.8,125.27,125.54,3906691
8/28/2012,125.75,126.36,125.59,125.84,3412537
8/29/2012,125.61,125.63,124.95,125.29,3762842
8/30/2012,126.27,126.44,125.73,125.94,3886374
8/31/2012,125.78,127.72,125.73,127.72,9192610
9/4/2012,126.92,127.63,126.76,127.32,6009260
9/5/2012,126.82,127.19,126.55,126.72,3466654
9/6/2012,125.53,125.53,124.55,124.61,6505163
9/7/2012,126.14,126.18,123.92,124.03,7335293
9/10/2012,123.69,124.33,123.51,124.33,4912087
9/11/2012,124.02,124.1,123.29,123.55,3523500
9/12/2012,122.22,122.41,121.68,122.01,7040901
9/13/2012,122.39,123.09,120.27,121.53,12280179
9/14/2012,119.76,119.85,118.05,118.3,16871544
9/17/2012,118.87,119.9,118.8,119.72,5573250
9/18/2012,120.71,120.9,119.96,120.32,5366694
9/19/2012,121.34,121.38,120.61,121.11,5903699
9/20/2012,122.14,122.32,120.98,121.41,4604257
9/21/2012,120.75,121.64,120.67,121.55,4144263
9/24/2012,122.25,122.7,122.18,122.5,3627471
9/25/2012,122.8,123.74,122.13,123.71,5894556
